# Datacard for <Channel (SR1fail2017) instance at 0x7f366af65760> generated on 2024-12-08 17:57:43.409240
imax 1 # number of categories ('bins' but here we are using shape templates)
jmax 10 # number of samples minus 1
kmax 94 # number of nuisance parameters
shapes * SR1fail2017 shapes2017.root shapes2017:SR1fail2017_$PROCESS shapes2017:SR1fail2017_$PROCESS_$SYSTEMATIC
bin SR1fail2017
observation 1685.000
bin                                                      SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017    SR1fail2017  SR1fail2017
CMS_HWW_boosted_mu_isolation lnN                              1.0110         1.0105         1.0110         1.0106         1.0109         1.0000         1.0000         1.0000         1.0000         1.0000            -
CMS_HWW_boosted_mu_trigger lnN                                1.0110         1.0105         1.0110         1.0106         1.0109         1.0000         1.0000         1.0000         1.0000         1.0000            -
CMS_HWW_boosted_mu_trigger_iso lnN                            1.0110         1.0105         1.0110         1.0106         1.0109         1.0000         1.0000         1.0000         1.0000         1.0000            -
CMS_HWW_boosted_tagger lnN                             0.9070/1.2440  0.9070/1.2440  0.9070/1.2440  0.9070/1.2440  0.9070/1.2440              -              -              -              -              -            -
CMS_HWW_boosted_top_reweighting shape                              -              -              -              -              -              -         1.0000              -              -              -            -
CMS_HWW_boosted_veff_2017 lnN                                 1.0209              -         1.0209         1.0209         1.0209              -         1.0209         1.0209              -         1.0209            -
CMS_l1_ecal_prefiring_2017 shape                              1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000         1.0000            -
CMS_lumi_13TeV_1718 lnN                                       1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060         1.0060            -
CMS_lumi_13TeV_2017 lnN                                       1.0200         1.0200         1.0200         1.0200         1.0200         1.0200         1.0200         1.0200         1.0200         1.0200            -
CMS_lumi_13TeV_correlated lnN                                 1.0090         1.0090         1.0090         1.0090         1.0090         1.0090         1.0090         1.0090         1.0090         1.0090            -
CMS_pileup_2017 lnN                                           1.0283         1.0299         1.0311         1.0341         1.0286         1.0551         1.0408         1.0376         1.0617         1.0921            -
CMS_pileup_id lnN                                             1.0163         1.0163         1.0164         1.0164         1.0163         1.0201         1.0178         1.0254         1.0304         1.0264            -
CMS_res_j_2017 lnN                                            1.0219         1.0134         1.0036         1.0222         1.0225         1.0113         1.0161         1.0308         1.0251         1.0357            -
CMS_scale_j_Abs lnN                                           1.0193         1.0162         1.0040         1.0202         1.0194         1.0143         1.0180         1.0322         1.0304         1.0353            -
CMS_scale_j_Abs_2017 lnN                                      1.0195         1.0181         1.0164         1.0196         1.0174         1.0161         1.0171         1.0232         1.0307         1.0264            -
CMS_scale_j_BBEC1 lnN                                         1.0193         1.0166         1.0040         1.0172         1.0175         1.0177         1.0169         1.0232         1.0303         1.0353            -
CMS_scale_j_BBEC1_2017 lnN                                    1.0184         1.0156         1.0211         1.0171         1.0179         1.0186         1.0181         1.0332         1.0368         1.0264            -
CMS_scale_j_EC2 lnN                                           1.0165         1.0150         1.0211         1.0159         1.0152         1.0199         1.0178         1.0333         1.0281         1.0264            -
CMS_scale_j_EC2_2017 lnN                                      1.0178         1.0152         1.0211         1.0207         1.0167         1.0196         1.0183         1.0254         1.0252         1.0264            -
CMS_scale_j_FlavQCD lnN                                       1.0192         1.0141         1.0040         1.0231         1.0196         1.0138         1.0162         1.0243         1.0322         1.0353            -
CMS_scale_j_HF lnN                                            1.0155         1.0171         1.0164         1.0179         1.0158         1.0195         1.0168         1.0332         1.0309         1.0264            -
CMS_scale_j_HF_2017 lnN                                       1.0160         1.0163         1.0164         1.0164         1.0167         1.0203         1.0181         1.0332         1.0306         1.0264            -
CMS_scale_j_RelBal lnN                                        1.0153         1.0153         1.0111         1.0190         1.0164         1.0192         1.0175         1.0332         1.0332         1.0264            -
CMS_scale_j_RelSample_2017 lnN                                1.0191         1.0171         1.0061         1.0205         1.0180         1.0187         1.0189         1.0311         1.0300         1.0353            -
PDF_WH_ACCEPT_CMS_HWW_boosted shape                           1.0000              -              -              -              -              -              -              -              -              -            -
PDF_ZH_ACCEPT_CMS_HWW_boosted shape                                -         1.0000              -              -              -              -              -              -              -              -            -
PDF_ggH_ACCEPT_CMS_HWW_boosted shape                               -              -              -         1.0000              -              -              -              -              -              -            -
PDF_qqH_ACCEPT_CMS_HWW_boosted shape                               -              -         1.0000              -              -              -              -              -              -              -            -
PDF_singletop_ACCEPT_CMS_HWW_boosted shape                         -              -              -              -              -              -              -         1.0000              -              -            -
PDF_ttH_ACCEPT_CMS_HWW_boosted shape                               -              -              -              -         1.0000              -              -              -              -              -            -
PDF_ttbar_ACCEPT_CMS_HWW_boosted shape                             -              -              -              -              -              -         1.0000              -              -              -            -
PDF_wjets_ACCEPT_CMS_HWW_boosted shape                             -              -              -              -              -         1.0000              -              -              -              -            -
QCDscale_VBF lnN                                                   -              -  0.9970/1.0040              -              -              -              -              -              -              -            -
QCDscale_WH lnN                                        0.9930/1.0050              -              -              -              -              -              -              -              -              -            -
QCDscale_WH_ACCEPT_CMS_HWW_boosted shape                      1.0000              -              -              -              -              -              -              -              -              -            -
QCDscale_ZH lnN                                                    -  0.9700/1.0380              -              -              -              -              -              -              -              -            -
QCDscale_ZH_ACCEPT_CMS_HWW_boosted shape                           -         1.0000              -              -              -              -              -              -              -              -            -
QCDscale_ggF lnN                                                   -              -              -         1.0390              -              -              -              -              -              -            -
QCDscale_ggH_ACCEPT_CMS_HWW_boosted shape                          -              -              -         1.0000              -              -              -              -              -              -            -
QCDscale_qqH_ACCEPT_CMS_HWW_boosted shape                          -              -         1.0000              -              -              -              -              -              -              -            -
QCDscale_singletop_ACCEPT_CMS_HWW_boosted shape                    -              -              -              -              -              -              -         1.0000              -              -            -
QCDscale_ttH lnN                                                   -              -              -              -  0.9080/1.0580              -              -              -              -              -            -
QCDscale_ttH_ACCEPT_CMS_HWW_boosted shape                          -              -              -              -         1.0000              -              -              -              -              -            -
QCDscale_ttbar_ACCEPT_CMS_HWW_boosted shape                        -              -              -              -              -              -         1.0000              -              -              -            -
QCDscale_wjets_ACCEPT_CMS_HWW_boosted shape                        -              -              -              -              -         1.0000              -              -              -              -            -
alpha_s lnN                                                   1.0090         1.0090         1.0050         1.0260         1.0200              -              -              -              -              -            -
pdf_Higgs_WH lnN                                       0.9930/1.0170              -              -              -              -              -              -              -              -              -            -
pdf_Higgs_ZH lnN                                                   -  0.9700/1.0130              -              -              -              -              -              -              -              -            -
pdf_Higgs_ggH lnN                                                  -              -              -         1.0190              -              -              -              -              -              -            -
pdf_Higgs_qqH lnN                                                  -              -  0.9970/1.0210              -              -              -              -              -              -              -            -
pdf_Higgs_ttH lnN                                                  -              -              -              -  0.9080/1.0300              -              -              -              -              -            -
ps_fsr_WH shape                                               1.0000              -              -              -              -              -              -              -              -              -            -
ps_fsr_ZH shape                                                    -         1.0000              -              -              -              -              -              -              -              -            -
ps_fsr_ggH shape                                                   -              -              -         1.0000              -              -              -              -              -              -            -
ps_fsr_qqH shape                                                   -              -         1.0000              -              -              -              -              -              -              -            -
ps_fsr_singletop shape                                             -              -              -              -              -              -              -         1.0000              -              -            -
ps_fsr_ttH shape                                                   -              -              -              -         1.0000              -              -              -              -              -            -
ps_fsr_ttbar shape                                                 -              -              -              -              -              -         1.0000              -              -              -            -
ps_fsr_wjets shape                                                 -              -              -              -              -         1.0000              -              -              -              -            -
ps_isr_WH shape                                               1.0000              -              -              -              -              -              -              -              -              -            -
ps_isr_ZH shape                                                    -         1.0000              -              -              -              -              -              -              -              -            -
ps_isr_ggH shape                                                   -              -              -         1.0000              -              -              -              -              -              -            -
ps_isr_qqH shape                                                   -              -         1.0000              -              -              -              -              -              -              -            -
ps_isr_singletop shape                                             -              -              -              -              -              -              -         1.0000              -              -            -
ps_isr_ttH shape                                                   -              -              -              -         1.0000              -              -              -              -              -            -
ps_isr_ttbar shape                                                 -              -              -              -              -              -         1.0000              -              -              -            -
ps_isr_wjets shape                                                 -              -              -              -              -         1.0000              -              -              -              -            -
unclustered_Energy lnN                                        1.0195         1.0167         1.0204         1.0239         1.0195         1.0172         1.0166         1.0220         1.0365         1.0456            -
tqqeffSF_2017 extArg shapes2017.root:shapes2017
tqqnormSF_2017 extArg shapes2017.root:shapes2017
tqqeffSF_2017_effect_SR1fail2017_TTbar rateParam SR1fail2017 TTbar (((1-@0)*0.3707693036667135)+1) tqqeffSF_2017
tqqeffSF_2017_effect_SR1fail2017_SingleTop rateParam SR1fail2017 SingleTop (((1-@0)*0.3707693036667135)+1) tqqeffSF_2017
tqqnormSF_2017_effect_SR1fail2017_TTbar rateParam SR1fail2017 TTbar (1*@0) tqqnormSF_2017
tqqnormSF_2017_effect_SR1fail2017_SingleTop rateParam SR1fail2017 SingleTop (1*@0) tqqnormSF_2017
wjetsnormSF rateParam * WJetsLNu 1.0 [0,5]
